lottery,draw_number,draw_date_time,my_field1,my_field2,win_field1,win_field2,win_amount
Премьер,011456,14 октября 2025 14:09 МСК,"Номер билета:,1041 3111 0000 2131 1877,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011456,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,14:09 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2131 1877,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011456,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,14:09 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2131 1877,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011456,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,14:09 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2131 1877,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011456,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,14:09 МСК,Купить ∙ 70 ₽,,,",150 ₽
Премьер,012697,18 ноября 2025 11:39 МСК,"Номер билета:,1041 3111 0000 2336 7580,Цена билета:,80 ₽,Дата покупки билета:,18 ноября 2025,Название лотереи:,Премьер,Тираж №:,012697,Дата тиража:,18 ноября 2025,Место тиража:,г. Москва,Время тиража:,11:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2336 7580,Цена билета:,80 ₽,Дата покупки билета:,18 ноября 2025,Название лотереи:,Премьер,Тираж №:,012697,Дата тиража:,18 ноября 2025,Место тиража:,г. Москва,Время тиража:,11:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2336 7580,Цена билета:,80 ₽,Дата покупки билета:,18 ноября 2025,Название лотереи:,Премьер,Тираж №:,012697,Дата тиража:,18 ноября 2025,Место тиража:,г. Москва,Время тиража:,11:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2336 7580,Цена билета:,80 ₽,Дата покупки билета:,18 ноября 2025,Название лотереи:,Премьер,Тираж №:,012697,Дата тиража:,18 ноября 2025,Место тиража:,г. Москва,Время тиража:,11:39 МСК,Купить ∙ 70 ₽,,,",110 ₽
Премьер,011402,13 октября 2025 01:39 МСК,"Номер билета:,1041 3111 0000 2122 7404,Цена билета:,70 ₽,Дата покупки билета:,13 октября 2025,Название лотереи:,Премьер,Тираж №:,011402,Дата тиража:,13 октября 2025,Место тиража:,г. Москва,Время тиража:,01:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2122 7404,Цена билета:,70 ₽,Дата покупки билета:,13 октября 2025,Название лотереи:,Премьер,Тираж №:,011402,Дата тиража:,13 октября 2025,Место тиража:,г. Москва,Время тиража:,01:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2122 7404,Цена билета:,70 ₽,Дата покупки билета:,13 октября 2025,Название лотереи:,Премьер,Тираж №:,011402,Дата тиража:,13 октября 2025,Место тиража:,г. Москва,Время тиража:,01:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2122 7404,Цена билета:,70 ₽,Дата покупки билета:,13 октября 2025,Название лотереи:,Премьер,Тираж №:,011402,Дата тиража:,13 октября 2025,Место тиража:,г. Москва,Время тиража:,01:39 МСК,Купить ∙ 70 ₽,,,",150 ₽
Премьер,000814,15 августа 2024 21:54 МСК,"Номер билета:,1041 3111 0000 0087 8019,Цена билета:,200 ₽,Дата покупки билета:,15 августа 2024,Название лотереи:,Премьер,Тираж №:,000814,Дата тиража:,15 августа 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0087 8019,Цена билета:,200 ₽,Дата покупки билета:,15 августа 2024,Название лотереи:,Премьер,Тираж №:,000814,Дата тиража:,15 августа 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0087 8019,Цена билета:,200 ₽,Дата покупки билета:,15 августа 2024,Название лотереи:,Премьер,Тираж №:,000814,Дата тиража:,15 августа 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0087 8019,Цена билета:,200 ₽,Дата покупки билета:,15 августа 2024,Название лотереи:,Премьер,Тираж №:,000814,Дата тиража:,15 августа 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,",300 ₽
Премьер,000760,13 августа 2024 13:54 МСК,"Номер билета:,1041 3111 0000 0081 9904,Цена билета:,200 ₽,Дата покупки билета:,13 августа 2024,Название лотереи:,Премьер,Тираж №:,000760,Дата тиража:,13 августа 2024,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0081 9904,Цена билета:,200 ₽,Дата покупки билета:,13 августа 2024,Название лотереи:,Премьер,Тираж №:,000760,Дата тиража:,13 августа 2024,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0081 9904,Цена билета:,200 ₽,Дата покупки билета:,13 августа 2024,Название лотереи:,Премьер,Тираж №:,000760,Дата тиража:,13 августа 2024,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0081 9904,Цена билета:,200 ₽,Дата покупки билета:,13 августа 2024,Название лотереи:,Премьер,Тираж №:,000760,Дата тиража:,13 августа 2024,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,",300 ₽
Премьер,000971,22 августа 2024 15:54 МСК,"Номер билета:,1041 3111 0000 0104 9844,Цена билета:,200 ₽,Дата покупки билета:,22 августа 2024,Название лотереи:,Премьер,Тираж №:,000971,Дата тиража:,22 августа 2024,Место тиража:,г. Москва,Время тиража:,15:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0104 9844,Цена билета:,200 ₽,Дата покупки билета:,22 августа 2024,Название лотереи:,Премьер,Тираж №:,000971,Дата тиража:,22 августа 2024,Место тиража:,г. Москва,Время тиража:,15:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0104 9844,Цена билета:,200 ₽,Дата покупки билета:,22 августа 2024,Название лотереи:,Премьер,Тираж №:,000971,Дата тиража:,22 августа 2024,Место тиража:,г. Москва,Время тиража:,15:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0104 9844,Цена билета:,200 ₽,Дата покупки билета:,22 августа 2024,Название лотереи:,Премьер,Тираж №:,000971,Дата тиража:,22 августа 2024,Место тиража:,г. Москва,Время тиража:,15:54 МСК,Купить ∙ 70 ₽,,,",300 ₽
Форсаж 75,018860,18 декабря 2023 19:45 МСК,,,,,20 ₽
Топ 12,003650,4 декабря 2023 00:54 МСК,"Номер билета:,1040 4111 0000 0296 9326,Цена билета:,100 ₽,Дата покупки билета:,4 декабря 2023,Название лотереи:,Топ 12,Тираж №:,003650,Дата тиража:,4 декабря 2023,Место тиража:,г. Москва,Время тиража:,00:54 МСК,Купить ∙ 100 ₽,,,",,"Номер билета:,1040 4111 0000 0296 9326,Цена билета:,100 ₽,Дата покупки билета:,4 декабря 2023,Название лотереи:,Топ 12,Тираж №:,003650,Дата тиража:,4 декабря 2023,Место тиража:,г. Москва,Время тиража:,00:54 МСК,Купить ∙ 100 ₽,,,",,500 ₽
Премьер,007912,10 июня 2025 13:54 МСК,"Номер билета:,1041 3111 0000 0966 4413,Цена билета:,80 ₽,Дата покупки билета:,10 июня 2025,Название лотереи:,Премьер,Тираж №:,007912,Дата тиража:,10 июня 2025,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0966 4413,Цена билета:,80 ₽,Дата покупки билета:,10 июня 2025,Название лотереи:,Премьер,Тираж №:,007912,Дата тиража:,10 июня 2025,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0966 4413,Цена билета:,80 ₽,Дата покупки билета:,10 июня 2025,Название лотереи:,Премьер,Тираж №:,007912,Дата тиража:,10 июня 2025,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0966 4413,Цена билета:,80 ₽,Дата покупки билета:,10 июня 2025,Название лотереи:,Премьер,Тираж №:,007912,Дата тиража:,10 июня 2025,Место тиража:,г. Москва,Время тиража:,13:54 МСК,Купить ∙ 70 ₽,,,",120 ₽
Премьер,002506,27 октября 2024 21:54 МСК,"Номер билета:,1041 3111 0000 0301 8297,Цена билета:,200 ₽,Дата покупки билета:,27 октября 2024,Название лотереи:,Премьер,Тираж №:,002506,Дата тиража:,27 октября 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0301 8297,Цена билета:,200 ₽,Дата покупки билета:,27 октября 2024,Название лотереи:,Премьер,Тираж №:,002506,Дата тиража:,27 октября 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0301 8297,Цена билета:,200 ₽,Дата покупки билета:,27 октября 2024,Название лотереи:,Премьер,Тираж №:,002506,Дата тиража:,27 октября 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0301 8297,Цена билета:,200 ₽,Дата покупки билета:,27 октября 2024,Название лотереи:,Премьер,Тираж №:,002506,Дата тиража:,27 октября 2024,Место тиража:,г. Москва,Время тиража:,21:54 МСК,Купить ∙ 70 ₽,,,",300 ₽
